,RegionName,InventoryRaw_AllHomes
3747217,bethaltomadisonil,54.0
3747218,bethany_beachsussexde,170.0
3747221,bethanyharrisonmo,14.0
3747223,bethanynew_havenct,27.0
3747224,bethanyoklahomaok,40.0
3747228,bethel_parkalleghenypa,106.0
3747233,bethelclermontoh,26.0
3747236,bethelsullivanny,118.0
3747237,bethelwindsorvt,12.0
3747239,bethlehem_townshiphunterdonnj,22.0
3747240,bethlehem_townshipnorthamptonpa,54.0
3747241,bethlehemalbanyny,130.0
3747242,bethlehembarrowga,58.0
3747243,bethlehemgraftonnh,24.0
3747244,bethlehemlitchfieldct,31.0
3747245,bethlehemnorthamptonpa,192.0
3747247,bethpagenassauny,42.0
3747251,beulahbenziemi,41.0
3747253,beulavilleduplinnc,22.0
3747254,beverly_hillscitrusfl,144.0
3747255,beverly_hillslos_angelesca,93.0
3747257,beverly_hillsoaklandmi,18.0
3747258,beverlyburlingtonnj,30.0
3747259,beverlyessexma,44.0
3747264,big_bear_citysan_bernardinoca,211.0
3747265,big_bear_lakesan_bernardinoca,218.0
3747268,big_coppitt_keymonroefl,22.0
3747270,big_lakesherburnemn,32.0
3747271,big_pine_keymonroefl,65.0
3747277,big_sandybentontn,36.0
3747278,big_sandyupshurtx,46.0
3747286,billericamiddlesexma,36.0
3747288,billingsyellowstonemt,474.0
3747289,biloxiharrisonms,410.0
3747294,birchwoodbarronwi,56.0
3747295,birchwoodmeigstn,24.0
3747297,birdsboroberkspa,8.0
3747299,birminghamjeffersonal,690.0
3747300,birminghamoaklandmi,154.0
3747305,bishopinyoca,32.0
3747306,bishopnuecestx,20.0
3747307,bishopvilleleesc,28.0
3747308,bishopvilleworcestermd,28.0
3747312,bitelynewaygomi,25.0
3747316,bixbytulsaok,228.0
3747317,black_canyon_cityyavapaiaz,13.0
3747320,black_forestel_pasoco,63.0
3747323,black_river_fallsjacksonwi,67.0
3747325,blackfootbinghamid,34.0
3747326,blacklick_estatesfranklinoh,14.0
3747328,blacklickfranklinoh,46.0
3747330,blacksburgcherokeesc,14.0
3747331,blacksburgmontgomeryva,70.0
3747332,blackshearpiercega,66.0
3747333,blackstonenottowayva,32.0
3747334,blackstoneworcesterma,11.0
3747337,blackwoodcamdennj,36.0
3747340,blaineanokamn,138.0
3747342,blainewhatcomwa,106.0
3747343,blair_townshipblairpa,18.0
3747347,blairstownwarrennj,46.0
3747349,blairsvilleunionga,318.0
3747351,blairwashingtonne,28.0
3747356,blancoblancotx,68.0
3747363,bloomerchippewawi,23.0
3747364,bloomfield_hillsoaklandmi,288.0
3747365,bloomfieldessexnj,75.0
3747367,bloomfieldhartfordct,98.0
3747369,bloomfieldsan_juannm,86.0
3747375,bloomingdaledu_pageil,64.0
3747376,bloomingdaleeffinghamga,32.0
3747378,bloomingdalepassaicnj,36.0
3747381,bloomingtonhennepinmn,98.0
3747382,bloomingtonmcleanil,538.0
3747383,bloomingtonmonroein,494.0
3747384,bloomingtonsan_bernardinoca,18.0
3747385,bloomsburgcolumbiapa,34.0
3747386,bloomsburyhunterdonnj,20.0
3747389,blounts_creekbeaufortnc,22.0
3747391,blountvillesullivantn,72.0
3747392,blowing_rockwatauganc,150.0
3747393,bloxomaccomackva,12.0
3747395,blue_bellmontgomerypa,24.0
3747399,blue_hillhancockme,30.0
3747400,blue_islandcookil,36.0
3747402,blue_moundsdanewi,9.0
3747405,blue_pointsuffolkny,23.0
3747408,blue_ridgebotetourtva,22.0
3747410,blue_ridgefanninga,248.0
3747411,blue_springsjacksonmo,142.0
3747414,bluemontclarkeva,30.0
3747415,bluff_citysullivantn,37.0
3747416,bluffdalesalt_lakeut,40.0
3747418,blufftonbeaufortsc,456.0
3747421,blytheriversideca,54.0
3747423,blythewoodrichlandsc,276.0
3747425,boardmanmahoningoh,184.0
3747426,boazmarshallal,47.0
3747428,boca_ratonpalm_beachfl,2565.0
3747429,bodega_baysonomaca,12.0
3747431,boernekendalltx,347.0
3747434,bogartoconeega,84.0
3747443,boiling_springsspartanburgsc,177.0
3747445,boiseadaid,521.0
3747449,bolingbrookwillil,118.0
3747451,bolivarhardemantn,40.0
3747453,bolivarpolkmo,120.0
3747455,boltontollandct,22.0
3747456,boltonwarrenny,59.0
3747457,boltonworcesterma,20.0
3747458,bon_airchesterfieldva,36.0
3747460,bonairehoustonga,163.0
3747464,bondurantpolkia,79.0
3747466,bonhamfannintx,48.0
3747467,bonita_springsleefl,1126.0
3747468,bonitasan_diegoca,26.0
3747469,bonne_terresaint_francoismo,26.0
3747472,bonner_springswyandotteks,26.0
3747475,bonners_ferryboundaryid,52.0
3747476,bonney_lakepiercewa,122.0
3747477,bonocraigheadar,16.0
3747478,bonsallsan_diegoca,32.0
3747480,boonebooneia,50.0
3747481,boones_millfranklinva,28.0
3747484,boonewatauganc,264.0
3747485,boonsborowashingtonmd,46.0
3747486,boonton_townshipmorrisnj,18.0
3747487,boontonmorrisnj,21.0
3747488,boonvillecoopermo,32.0
3747489,boonvillewarrickin,36.0
3747490,boothbay_harborlincolnme,32.0
3747491,boothbaylincolnme,22.0
3747492,boothwyndelawarepa,15.0
3747494,bordentown_townshipburlingtonnj,68.0
3747495,borgerhutchinsontx,53.0
3747496,boringclackamasor,17.0
3747500,boscobelgrantwi,19.0
3747501,bosque_farmsvalencianm,12.0
3747502,bossier_citybossierla,411.0
3747503,bosticrutherfordnc,38.0
3747506,bostonerieny,16.0
3747508,bostonsuffolkma,662.0
3747509,bostonthomasga,12.0
3747512,boulder_cityclarknv,88.0
3747514,boulder_junctionvilaswi,42.0
3747515,boulderboulderco,316.0
3747517,bound_brooksomersetnj,26.0
3747518,bountifuldavisut,63.0
3747520,bourbonnaiskankakeeil,106.0
3747522,bournebarnstablema,118.0
3747524,bowdoinhamsagadahocme,6.0
3747527,bowerbankpiscataquisme,14.0
3747530,bowieprince_georgesmd,237.0
3747534,bowling_greenpikemo,18.0
3747535,bowling_greenwarrenky,486.0
3747539,bowmerrimacknh,32.0
3747543,boyceclarkeva,30.0
3747552,boylstonworcesterma,18.0
3747554,boyne_fallscharlevoixmi,85.0
3747555,boynton_beachpalm_beachfl,1460.0
3747556,bozemangallatinmt,311.0
3747564,bradenton_beachmanateefl,51.0
3747565,bradentonmanateefl,1984.0
3747567,bradford_townshipmckeanpa,78.0
3747568,bradforddarkeoh,8.0
3747569,bradfordgibsontn,5.0
3747570,bradfordmerrimacknh,22.0
3747574,bradley_beachmonmouthnj,20.0
3747575,bradleykankakeeil,34.0
3747578,bradleysan_luis_obispoca,30.0
3747584,braidwoodwillil,18.0
3747585,brainerdcrow_wingmn,140.0
3747586,braintreenorfolkma,29.0
3747588,branchburgsomersetnj,48.0
3747590,branchvillesussexnj,26.0
3747591,brandenburgmeadeky,42.0
3747592,brandonhillsboroughfl,175.0
3747595,brandonrankinms,460.0
3747596,brandywineprince_georgesmd,89.0
3747597,branfordnew_havenct,194.0
3747598,branfordsuwanneefl,19.0
3747599,bransontaneymo,392.0
3747604,braseltonjacksonga,185.0
3747606,brasstownclaync,18.0
3747609,brawleyimperialca,64.0
3747610,brazilclayin,52.0
3747611,brazoriabrazoriatx,50.0
3747612,breaorangeca,53.0
3747614,breckenridge_hillssaint_louismo,10.0
3747616,breckenridgestephenstx,49.0
3747621,brecksvillecuyahogaoh,61.0
3747623,breezy_pointcrow_wingmn,23.0
3747625,bremenharalsonga,37.0
3747627,bremertonkitsapwa,150.0
3747629,brenhamwashingtontx,144.0
3747630,brentwoodalleghenypa,46.0
3747634,brentwoodsaint_louismo,30.0
3747635,brentwoodwilliamsontn,208.0
3747637,brethrenmanisteemi,5.0
3747639,brewerpenobscotme,36.0
3747641,brewster_hillputnamny,5.0
3747642,brewsterbarnstablema,74.0
3747645,brewtonescambiaal,32.0
3747647,briarcliff_manorwestchesterny,40.0
3747649,briarclifftravistx,13.0
3747651,brices_creekcravennc,26.0
3747654,brickoceannj,466.0
3747656,bridgehamptonsuffolkny,162.0
3747659,bridgeportfairfieldct,314.0
3747660,bridgeportharrisonwv,90.0
3747667,bridgeton_townshipbuckspa,15.0
3747668,bridgetoncumberlandnj,82.0
3747669,bridgetonsaint_louismo,18.0
3747670,bridgetownhamiltonoh,28.0
3747671,bridgeviewcookil,32.0
3747673,bridgevillesussexde,68.0
3747675,bridgewaterlitchfieldct,24.0
3747676,bridgewaterplymouthma,46.0
3747678,bridgewatersomersetnj,132.0
3747679,bridgmanberrienmi,27.0
3747681,briellemonmouthnj,26.0
3747683,brigantineatlanticnj,369.0
3747685,brigham_citybox_elderut,35.0
3747687,brighton_townshipbeaverpa,42.0
3747688,brightonadamsco,48.0
3747689,brightonessexvt,10.0
3747691,brightonjerseyil,34.0
3747693,brightonlivingstonmi,108.0
3747694,brightonmonroeny,58.0
3747698,brimfieldhampdenma,20.0
